IC_Spawn,from_state,to_state,singlet_1,singlet_2,singlet_3
0049_6,3,2,-154.74733475,-154.63609182,-154.63389163
0049_7,2,1,-154.7052666,-154.7041491,-154.51390995
0049_8,3,2,-154.76578154,-154.64388365,-154.63875862
0049_9,2,1,-154.66234733,-154.65640488,-154.47860534
0050_2,2,3,-154.87340812,-154.60272499,-154.59621861
0050_3,3,2,-154.77828611,-154.6367845,-154.63385852
0050_4,2,1,-154.65751344,-154.64800191,-154.45476783
0050_5,2,1,-154.63323452,-154.63191066,-154.44868313
0050_6,2,1,-154.62474526,-154.61367716,-154.43540589
0050_7,2,1,-154.65042513,-154.64767363,-154.50336625
0051_10,2,1,-154.63435414,-154.62485008,-154.46030497
0051_11,2,1,-154.66341167,-154.66245585,-154.49012348
0051_12,2,1,-154.6518919,-154.64177113,-154.45267116
0051_13,2,1,-154.65520883,-154.65271767,-154.45522365
0051_14,2,1,-154.62842902,-154.62747987,-154.46129633
0051_15,2,1,-154.66039641,-154.65487225,-154.49171289
0051_16,2,1,-154.61048248,-154.6045006,-154.47999721
0051_17,2,1,-154.61706887,-154.61125756,-154.41351036
0051_2,2,3,-154.90354205,-154.63080188,-154.62697369
0051_3,3,2,-154.87828289,-154.61441731,-154.61427927
0051_4,2,3,-154.87641906,-154.61878314,-154.61393922
0051_5,3,2,-154.78586571,-154.62895418,-154.62529798
0051_6,3,2,-154.78125818,-154.62148063,-154.61966817
0051_7,2,3,-154.70907034,-154.6128271,-154.59767863
0051_8,2,3,-154.74901219,-154.61643971,-154.60429588
0051_9,2,1,-154.64377856,-154.63649969,-154.44623097
0052_10,2,1,-154.69890395,-154.68991868,-154.51921582
0052_11,2,1,-154.67245864,-154.66123571,-154.48414839
0052_12,2,1,-154.67642009,-154.6742929,-154.5034421
0052_2,2,3,-154.90593892,-154.62817278,-154.62717856
0052_3,3,2,-154.89117799,-154.63429562,-154.63173569
0052_4,3,2,-154.8699651,-154.63167068,-154.62537361
0052_5,3,2,-154.7158012,-154.62384832,-154.62274064
0052_6,2,1,-154.65406233,-154.64737025,-154.48375047
0052_7,2,1,-154.67235191,-154.66855053,-154.47816931
0052_8,2,1,-154.66341274,-154.65386163,-154.45537665
0052_9,2,1,-154.67261495,-154.66843421,-154.49049311
0053_2,2,3,-154.9178097,-154.6466382,-154.64215677
0053_3,3,2,-154.77034969,-154.63713367,-154.63557259
0053_4,2,1,-154.68274099,-154.67724372,-154.49214626
0053_5,2,1,-154.67284062,-154.66861557,-154.48471458
0053_6,2,1,-154.66512036,-154.66495594,-154.44602178
0053_7,2,1,-154.67661497,-154.66960332,-154.50180328
0053_8,2,1,-154.67423099,-154.67262318,-154.49608564
0054_2,2,3,-154.88918828,-154.61669531,-154.61175131
0054_3,3,2,-154.8739934,-154.61560524,-154.61061009
0054_4,3,2,-154.88498014,-154.63031904,-154.62449793
0054_5,3,2,-154.77009313,-154.64071768,-154.63796965
0054_6,2,1,-154.64035142,-154.63618149,-154.47958701
0054_7,2,1,-154.65421107,-154.64813127,-154.48220375
0054_8,2,1,-154.66267995,-154.6610524,-154.48179884
0054_9,2,1,-154.67285065,-154.67166631,-154.4840359
0056_2,2,1,-154.6749183,-154.67238844,-154.48984537
0057_10,2,1,-154.67838353,-154.67055823,-154.4889099
0057_11,2,1,-154.64203392,-154.63377538,-154.47253305
0057_12,2,1,-154.65282254,-154.64381491,-154.49433111
0057_13,2,1,-154.641979,-154.63699243,-154.48784741
0057_14,2,1,-154.64136326,-154.64066921,-154.46719419
0057_15,2,1,-154.6146512,-154.61299612,-154.47269854
0057_2,2,3,-154.8863823,-154.61275058,-154.61181444
