IC_Spawn,singlet_1,singlet_2,meci_type
0458_2,-77.80627941,-77.80471445,Ethylidene_Straight
0458_3,-77.75413892,-77.75256234,Twist
0459_2,-77.69557213,-77.69313772,H_Dissociation
0459_3,-77.73570782,-77.7340374,Ethylidene_Bent
0460_2,-77.72125237,-77.71464868,Twist
0460_3,-77.73792547,-77.72906537,Twist
0460_4,-77.69415112,-77.6910101,Twist
0460_5,-77.71526647,-77.71290224,Twist
0461_2,-77.81856515,-77.81784204,Ethylidene_Bent
0461_3,-77.72734519,-77.72554693,Ethylidene_Bent
0462_2,-77.71521189,-77.7056144,Ethylidene_Bent
0462_3,-77.75805684,-77.75134814,Twist
0462_4,-77.76984506,-77.76264905,Twist
0462_5,-77.81551581,-77.81395634,Ethylidene_Bent
0462_6,-77.794382,-77.79391379,Ethylidene_Straight
0463_2,-77.71558793,-77.71499019,Twist
0464_2,-77.81759997,-77.81732067,Ethylidene_Straight
0464_3,-77.7921532,-77.7915115,Ethylidene_Straight
0465_2,-77.77798164,-77.77108368,Twist
0465_3,-77.84758975,-77.84746842,Ethylidene_Straight
0465_4,-77.69888953,-77.69835901,0341_3
0466_2,-77.80906185,-77.80618291,Twist
0467_2,-77.68092183,-77.6772795,H_Dissociation
0467_3,-77.71466807,-77.70810039,Ethylidene_Bent
0468_2,-77.7438762,-77.74335375,Ethylidene_Bent
0469_2,-77.70379152,-77.70061091,H_Dissociation
0469_3,-77.69664427,-77.69567802,H_Dissociation
0470_2,-77.67545809,-77.6701334,Ethylidene_Straight
0470_3,-77.68697086,-77.68048934,Ethylidene_Bent
0470_4,-77.67176388,-77.66990813,H_Dissociation
0471_2,-77.78840551,-77.78073852,Twist
0471_3,-77.80615144,-77.80578081,Ethylidene_Bent
0472_2,-77.70351337,-77.70212192,Ethylidene_Bent
0473_2,-77.81272025,-77.81063859,Ethylidene_Bent
0473_3,-77.79400239,-77.79246672,Ethylidene_Straight
0473_4,-77.79079807,-77.79030202,Ethylidene_Bent
0473_5,-77.77215011,-77.7705255,Ethylidene_Straight
0474_2,-77.7143711,-77.70790376,H_Dissociation
0474_3,-77.69901438,-77.69514301,H_Dissociation
0475_2,-77.78422626,-77.7839106,Ethylidene_Straight
0475_3,-77.79573004,-77.79472464,Ethylidene_Bent
0475_4,-77.81652941,-77.81639232,Ethylidene_Bent
0475_5,-77.79617427,-77.79605036,Ethylidene_Straight
0475_6,-77.78876356,-77.78868983,Ethylidene_Straight
0476_2,-77.78412109,-77.78020672,Twist
0476_3,-77.77494008,-77.76820423,Twist
