IC_Spawn,from_state,to_state,singlet_1,singlet_2,singlet_3,meci_type
0143_12,2,1,-230.34303696,-230.34256315,-230.23910397,Type_2
0143_6,2,1,-230.33686242,-230.33455296,-230.24462225,Type_2
0143_7,2,1,-230.33177048,-230.32833596,-230.20470691,Type_2
0143_8,2,1,-230.32707124,-230.3258751,-230.22259287,Type_2
0143_9,2,1,-230.33743575,-230.33607589,-230.22268187,Type_2
0144_10,2,1,-230.34825733,-230.34562118,-230.24780588,Type_2
0144_12,2,1,-230.35386049,-230.34739862,-230.22714182,Type_1
0144_13,2,1,-230.36591492,-230.3641267,-230.25268372,Type_1
0144_3,2,1,-230.36543305,-230.35983192,-230.25374239,Type_3
0144_4,2,1,-230.35267658,-230.34651441,-230.22179126,Type_2
0144_8,2,1,-230.35070762,-230.34873714,-230.23811919,Type_3
0144_9,2,1,-230.36428657,-230.35881087,-230.26697772,Type_3
0146_11,2,1,-230.33777373,-230.32086837,-230.2259165,Type_3
0146_12,2,1,-230.35173076,-230.34608902,-230.2206506,Type_3
0146_13,2,1,-230.33696185,-230.329192,-230.21092458,Double_H
0146_14,2,1,-230.34584365,-230.34097588,-230.25189418,Type_1
0146_15,2,1,-230.33287436,-230.32974837,-230.21141475,Type_2
0146_16,2,1,-230.36336048,-230.36145095,-230.2405818,Type_2
0146_17,2,1,-230.33693984,-230.33018159,-230.20975592,Type_1
0146_18,2,1,-230.36581656,-230.36123854,-230.23933504,Type_1
0146_3,2,1,-230.36313197,-230.35293088,-230.25327369,Type_3
0146_5,2,1,-230.35491092,-230.34671332,-230.23831949,Type_3
0146_7,2,1,-230.37424533,-230.37343295,-230.27352515,Type_3
0146_9,2,1,-230.32804347,-230.3199552,-230.22372753,Type_3
0147_4,2,1,-230.3336196,-230.33221979,-230.20793933,Type_3
0147_5,2,1,-230.367733,-230.36458949,-230.2650051,Type_1
0147_6,2,1,-230.3622304,-230.35713133,-230.23408664,Type_2
0147_7,2,1,-230.34051919,-230.33499866,-230.21604079,Type_3
0148_10,2,1,-230.34742971,-230.3381971,-230.20991121,Type_1
0148_11,2,1,-230.32766625,-230.32212794,-230.20409474,Type_1
