IC_Spawn,singlet_1,singlet_2
0777_4,-77.76510162,-77.75994848
0777_5,-77.7489968,-77.74272584
0778_2,-77.70173334,-77.69944246
0778_3,-77.73042829,-77.73026025
0778_4,-77.74581396,-77.74034985
0779_2,-77.69267765,-77.68353297
0779_3,-77.69292796,-77.68810882
0779_4,-77.72309259,-77.72058227
0780_2,-77.74266984,-77.73212223
0780_3,-77.73519826,-77.72694936
0780_4,-77.74732354,-77.7396878
0780_5,-77.76851209,-77.75980475
0780_6,-77.78559439,-77.77743878
0781_2,-77.78024473,-77.76730453
0781_3,-77.73677713,-77.73105974
0781_4,-77.73454033,-77.72714206
0781_5,-77.79743488,-77.79546711
0781_6,-77.76908419,-77.76898073
0781_7,-77.75941685,-77.75278338
0781_8,-77.74692652,-77.73657391
0782_2,-77.70036639,-77.69715803
0782_3,-77.69544472,-77.69018502
0783_2,-77.7835525,-77.78136504
0784_2,-77.75633876,-77.75182181
0784_3,-77.73101377,-77.7290869
0785_2,-77.7086661,-77.70414812
0785_3,-77.70591502,-77.69833088
0785_4,-77.76120112,-77.75830446
0786_2,-77.71544134,-77.71467912
0787_2,-77.71759228,-77.71670032
0788_2,-77.71204761,-77.71065314
0789_2,-77.6914355,-77.68663009
0789_3,-77.7032729,-77.69695418
0790_2,-77.73573696,-77.73057351
0790_3,-77.75712688,-77.75605254
0790_4,-77.80656057,-77.80552799
0790_5,-77.78109319,-77.78005384
0790_6,-77.69510929,-77.69502753
0790_7,-77.74021831,-77.73979631
0791_2,-77.70449247,-77.69802637
0791_3,-77.72371123,-77.71974924
0791_4,-77.71235651,-77.71169329
0791_5,-77.80691805,-77.806104
0792_2,-77.78872256,-77.78758277
0792_3,-77.76380024,-77.76161236
0792_4,-77.76099727,-77.75675886
0793_2,-77.75029922,-77.74700836
0793_3,-77.76723473,-77.7640567
0794_2,-77.75666246,-77.75531088
0794_3,-77.71116365,-77.70408979
0794_4,-77.74297423,-77.74251929
0795_2,-77.69767655,-77.6967431
0796_2,-77.71523306,-77.70805853
0796_3,-77.80320202,-77.8008397
0797_2,-77.70763772,-77.69977143
0797_3,-77.69568089,-77.69346901
0798_2,-77.72315645,-77.721782
0799_2,-77.67294994,-77.67165914
0800_2,-77.72601677,-77.72269031
0800_3,-77.76399182,-77.75966171
0801_2,-77.76264009,-77.76157458
0801_3,-77.8085511,-77.80750868
0802_2,-77.73429455,-77.73286016
0802_3,-77.78262593,-77.78196235
0802_4,-77.8136552,-77.81121888
0803_2,-77.73004098,-77.72226431
0803_3,-77.69485137,-77.69168499
0804_2,-77.7029486,-77.69136824
0804_3,-77.72287552,-77.72024483
0805_2,-77.71197904,-77.70970035
0805_3,-77.69403862,-77.68919903
0806_2,-77.78098404,-77.77115674
0806_3,-77.79538776,-77.79379645
0806_4,-77.77804413,-77.77709855
0807_2,-77.80807999,-77.80304308
0807_3,-77.79936379,-77.79868581
0807_4,-77.80269221,-77.79800536
